Taxa	ko00770	ko00910	ko01230
s__Acidaminococcus_intestini_CAG_325	0.01214695682703247	0.011408969532732415	0.015610786553045103
s__Acidaminococcus_sp_HPA0509	0.012574047346286981	0.01296345340796021	0.01730972751566779
s__Alistipes_senegalensis	-0.051150370423656916	-0.07084049950987559	-0.053191611875976236
s__Alistipes_shahii	1.7110973405641194	0.3923674319648186	1.4407710244762748
s__Bacteroidales_bacterium_H8	-0.19920946388903954	-0.2626763711988448	-0.01490734334486121
s__Bacteroides_fragilis_CAG_47	0.029623124030350934	0.026005416102548074	0.03222649197492433
s__Bacteroides_sp_3_1_19	-0.6296570402397416	0.1185364613219152	-0.6847925420526185
s__Bacteroides_sp_CAG_20	-0.1068197353856023	-0.09842866283083733	-0.10080906440138826
s__Bacteroides_sp_D2	0.014945027802442492	-0.18692433071754253	-0.15585349544177732
s__Bacteroides_sp_UNK_MGS_14	-0.2797160267685135	-0.22370750168833645	-0.25514576042551906
s__Barnesiella_intestinihominis	0.01806027629582829	-0.11275189708318882	-0.11579491703287709
s__Bifidobacterium_longum	-0.18587858701966195	-0.1886169909372349	-0.2023969409261228
s__Carnobacterium_sp_N15_MGS_207	-0.5483999285801072	-0.7362349670225307	-0.8682750256444045
s__Clostridia_bacterium_UC5_1_2H11	0.05052857687356581	0.04503920755255939	0.05650156340019865
s__Clostridium_sp_AT5	0.06757451318616464	0.0633852576517124	0.05560655753264325
s__Clostridium_sp_CAG_299	0.033548588361734216	0.03473878914700963	0.025160656178434385
s__Clostridium_sp_CAG_343	0.13638005198665107	0.12724471139465587	0.13879813801478322
s__Clostridium_sp_CAG_91	0.1184108464633109	0.10551020048465289	0.14908599493447255
s__Desulfovibrio_piger	-0.031453960594508085	-0.02775460300861248	-0.04687004411671659
s__Dialister_sp_CAG_357	-0.1112696417516584	-0.1262931788407286	-0.10510509256565409
s__Enterobacter_sp_940_PEND	-0.09527887025133537	-0.062103986093948925	-0.09732639244658493
s__Enterobacter_sp_DC1	-0.1400668480866862	-0.08900440806405235	-0.13541281757539825
s__Eubacterium_sp_CAG_115	0.009367728080413107	0.00816496580927726	0.013032541580192548
s__Eubacterium_sp_CAG_202	0.1250558724834765	0.14290260351967757	0.13052639957569234
s__Eubacterium_sp_CAG_274	0.0688714866012537	0.06893115365909072	0.04790322632873668
s__Firmicutes_bacterium_CAG_41	0.1424189863140512	0.10614455552060438	0.12338205449257474
s__Firmicutes_bacterium_CAG_65	0.16804441746932133	0.15111467490093144	0.18749273795272667
s__Flavonifractor_plautii	0.15891849799172142	0.13467797065256332	0.16027199809318238
s__Fusobacterium_mortiferum	-0.005128226602519139	-0.3031620401269995	-0.10189249255685003
s__Lachnospiraceae_bacterium_2_1_46FAA	0.009914152715341656	0.008309422896672164	0.011025844213989406
s__Lachnospiraceae_bacterium_2_1_58FAA	-0.0030335988352930133	0.008372230325974298	-0.006519411161561387
s__Odoribacter_sp_N15_MGS_14	-0.15557400238138286	-0.1577188760920507	-0.14756605514536097
s__Odoribacter_sp_UNK_MGS_12	-0.15478576914364106	-0.15517203483384917	-0.15277593140597293
s__Odoribacter_splanchnicus	-0.39930451253123933	0.6646470591039598	0.32778255241343557
s__Oscillibacter_sp_KLE_1728	0.03973512014799432	0.03917613402720531	0.04358835593568017
s__Oscillibacter_sp_KLE_1745	0.04497325975179219	0.034453015343684945	0.048305193876270316
s__Parabacteroides_merdae_CAG_48	0.14537721623418157	0.9627373993148121	-0.2620608583916839
s__Parabacteroides_sp_2_1_7	0.17290257212584126	0.14159934936165836	0.17269216723767922
s__Parabacteroides_sp_D25	0.17615285659222665	0.15185266219523147	0.1860670093075684
s__Paraprevotella_clara	-0.2811072113275557	-0.17972345894805294	-0.241362670065166
s__Paraprevotella_clara_CAG_116	-0.021558650107957066	0.16095031832964551	0.007615400802883596
s__Phascolarctobacterium_sp_CAG_207	0.6358278701686759	0.5918909330003692	0.6168097805759901
s__Prevotella_baroniae	0.05953516223549167	0.052616923897861725	0.06121840134078884
s__Prevotella_sp_KHD1	-0.042046433546312795	-0.049617869148684865	-0.05665230123052378
s__Prevotella_stercorea	0.0712330459430139	0.08520769896273844	0.15759326123344639
s__Ruminococcus_gnavus	0.12542329594489407	0.00426776482107993	-0.013845897789655169
s__Sutterella_sp_KLE1602	0.26999343671254317	0.20237495832586705	0.20517302930127707
s__Sutterella_wadsworthensis	-0.11147062552542529	0.08641360160533944	-0.18126852170888544
s__Veillonella_parvula	0.0428597897557754	0.040143368438458164	0.037784949468163076
s__uncultured_Oscillibacter_sp	0.15830926592749073	-0.5674714044876997	0.18646269611217176
s__uncultured_Roseburia_sp	0.048185859760596264	0.04439543140221256	0.06035479918788449
s__uncultured_phage_crAssphage	-0.06849150165397579	0.006651306763095861	-0.2076507823872463
